Datum;Uhrzeit;Bezeichnung;Intervall;V51Z;V51B;V52Z;V52B;V111Z;V111B;V112Z;V112B;V351Z;V351B;TF35aZ;TF35aB;TF35bZ;TF35bB;TBS35aZ;TBS35aB;TBS35bZ;TBS35bB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB
23.04.2024;00:37;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:36;A 48;1;0;0;0;0;2;2;2;4;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:35;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:34;A 48;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:33;A 48;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:32;A 48;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:31;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:30;A 48;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:29;A 48;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:28;A 48;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:27;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:26;A 48;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:25;A 48;1;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:24;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:23;A 48;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:22;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:21;A 48;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:20;A 48;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:19;A 48;1;2;2;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:18;A 48;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:17;A 48;1;1;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:16;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:15;A 48;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:14;A 48;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:13;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:12;A 48;1;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:11;A 48;1;1;3;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:10;A 48;1;1;3;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:09;A 48;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:08;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:07;A 48;1;0;0;0;0;2;3;1;3;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:06;A 48;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:05;A 48;1;0;0;0;0;3;6;1;3;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:04;A 48;1;2;5;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:03;A 48;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:02;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:01;A 48;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
23.04.2024;00:00;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:59;A 48;1;1;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:58;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:57;A 48;1;2;10;0;0;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:56;A 48;1;1;6;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:55;A 48;1;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:54;A 48;1;2;5;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:53;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:52;A 48;1;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:51;A 48;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:50;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:49;A 48;1;2;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:48;A 48;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:47;A 48;1;0;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:46;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:45;A 48;1;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:44;A 48;1;1;0;1;2;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:43;A 48;1;0;0;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:42;A 48;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:41;A 48;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:40;A 48;1;1;3;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:39;A 48;1;0;0;4;3;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:38;A 48;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:37;A 48;1;0;0;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:36;A 48;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:35;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:34;A 48;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:33;A 48;1;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:32;A 48;1;0;0;0;0;4;4;1;3;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:31;A 48;1;0;0;2;2;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:30;A 48;1;0;0;0;0;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:29;A 48;1;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:28;A 48;1;0;0;1;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:27;A 48;1;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:26;A 48;1;2;11;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:25;A 48;1;2;4;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:24;A 48;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:23;A 48;1;0;0;2;2;1;2;2;3;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:22;A 48;1;4;6;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:21;A 48;1;1;2;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:20;A 48;1;2;11;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:19;A 48;1;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:18;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:17;A 48;1;0;0;0;0;6;8;2;6;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:16;A 48;1;2;3;0;0;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:15;A 48;1;0;0;0;0;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:14;A 48;1;1;4;0;0;4;5;3;8;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:13;A 48;1;3;5;0;0;4;9;4;4;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:12;A 48;1;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:11;A 48;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:10;A 48;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:09;A 48;1;0;0;0;0;3;5;2;7;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:08;A 48;1;0;0;0;0;1;0;3;10;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:07;A 48;1;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:06;A 48;1;0;0;1;3;1;3;0;0;1;19;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:05;A 48;1;3;5;0;0;2;9;0;0;0;0;1;1;0;0;1;1;0;0;0;100;0;100;0;100
22.04.2024;23:04;A 48;1;4;5;0;0;1;4;6;9;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:03;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:02;A 48;1;0;0;2;2;2;2;0;0;1;12;0;0;2;3;0;0;1;1;0;100;0;100;0;100
22.04.2024;23:01;A 48;1;0;0;2;2;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;23:00;A 48;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:59;A 48;1;1;4;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:58;A 48;1;2;2;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:57;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:56;A 48;1;2;2;1;2;1;3;1;4;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:55;A 48;1;1;6;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:54;A 48;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:53;A 48;1;1;5;0;0;2;5;3;6;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:52;A 48;1;3;8;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:51;A 48;1;2;4;0;0;5;10;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:50;A 48;1;0;0;0;0;0;0;2;10;0;1;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:49;A 48;1;2;3;0;0;3;3;0;0;1;4;1;1;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:48;A 48;1;4;7;0;0;3;13;1;4;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:47;A 48;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:46;A 48;1;0;0;0;0;6;7;2;8;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:45;A 48;1;2;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:44;A 48;1;0;0;2;2;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:43;A 48;1;0;0;2;1;2;1;2;4;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:42;A 48;1;0;0;0;0;3;10;2;5;1;6;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:41;A 48;1;0;0;0;0;2;3;4;5;0;0;0;0;1;1;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:40;A 48;1;2;2;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:39;A 48;1;2;6;0;0;3;5;5;8;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:38;A 48;1;0;3;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:37;A 48;1;2;8;2;2;6;9;1;4;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:36;A 48;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:35;A 48;1;1;3;4;5;4;6;2;7;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:34;A 48;1;0;0;0;0;1;7;1;2;1;10;0;0;0;0;0;0;1;1;0;100;0;100;0;100
22.04.2024;22:33;A 48;1;0;37;3;6;2;5;0;0;0;4;0;0;0;0;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:32;A 48;1;4;17;1;3;2;2;2;4;1;6;0;0;1;1;0;0;0;0;0;100;0;100;0;100
22.04.2024;22:31;A 48;1;2;5;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;100
