Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D21Z;D21B;D41Z;D41B;D42Z;D42B;B426_MP4Z;B426_MP4B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;T1_4Z;T1_4B;T2_3Z;T2_3B
16.02.2025;01:00;A118;1;0;0;2;2;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:59;A118;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:58;A118;1;0;0;1;1;6;7;1;2;0;0;0;0;0;0;1;1;0;0;0;0
16.02.2025;00:57;A118;1;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:56;A118;1;0;0;3;4;4;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:55;A118;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:54;A118;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:53;A118;1;0;0;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:52;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:51;A118;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:50;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:49;A118;1;0;0;0;0;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:48;A118;1;1;32;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:47;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:46;A118;1;0;0;3;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:45;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:44;A118;1;0;0;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:43;A118;1;0;11;3;8;2;1;1;2;0;0;1;1;1;1;0;0;0;0;0;0
16.02.2025;00:42;A118;1;1;25;3;4;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0
16.02.2025;00:41;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
