Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B
12.04.2024;01:15;A 29;1;0;0;0;0
11.04.2024;23:57;A 29;1;0;0;0;0
11.04.2024;23:56;A 29;1;0;0;0;0
11.04.2024;23:55;A 29;1;0;0;0;0
11.04.2024;23:54;A 29;1;0;0;0;0
11.04.2024;23:53;A 29;1;0;0;0;0
11.04.2024;23:52;A 29;1;0;0;0;0
11.04.2024;18:44;A 29;1;0;0;0;0
11.04.2024;18:43;A 29;1;0;0;0;0
11.04.2024;18:42;A 29;1;0;0;0;0
11.04.2024;18:41;A 29;1;0;0;0;0
11.04.2024;18:40;A 29;1;0;0;0;0
11.04.2024;18:39;A 29;1;0;0;0;0
11.04.2024;06:21;A 29;1;0;0;0;0
11.04.2024;06:20;A 29;1;0;0;0;0
11.04.2024;06:19;A 29;1;0;0;0;0
11.04.2024;06:18;A 29;1;0;0;0;0
11.04.2024;06:17;A 29;1;0;0;0;0
11.04.2024;05:41;A 29;1;0;0;0;0
