Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V12Z;V12B;V13Z;V13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D24Z;D24B;D31Z;D31B;D32Z;D32B;D33Z;D33B;V41Z;V41B;V42Z;V42B;V43Z;V43B;V44Z;V44B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4_GZ;MP4_GB;MP4_LZ;MP4_LB;MP5_RZ;MP5_RB;MP6_RZ;MP6_RB;MP5_GZ;MP5_GB;MP6_GZ;MP6_GB;MP7Z;MP7B;MP8Z;MP8B;MP9Z;MP9B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
24.08.2024;01:50;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;8;1;6;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:49;A 41;1;1;3;1;1;1;4;0;0;0;0;3;42;1;34;1;1;0;0;1;1;1;13;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:48;A 41;1;0;0;0;0;0;0;0;0;0;0;0;62;1;1;1;1;2;1;1;1;0;0;0;0;1;53;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:47;A 41;1;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0;1;0;1;3;1;14;1;16;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:46;A 41;1;0;0;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:45;A 41;1;0;0;1;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:44;A 41;1;0;0;3;3;2;24;0;0;0;0;1;2;3;2;0;0;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:43;A 41;1;0;0;0;0;0;0;0;0;0;0;1;78;1;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:42;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:41;A 41;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:40;A 41;1;1;2;2;2;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:39;A 41;1;0;0;1;3;1;5;0;0;0;0;1;52;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:38;A 41;1;0;0;2;2;1;2;0;0;0;0;1;49;0;0;0;0;0;0;0;0;1;11;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:37;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:36;A 41;1;0;0;2;2;1;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;24;0;0;4;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:35;A 41;1;0;0;0;0;0;0;0;0;0;0;1;51;0;0;1;18;1;15;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:34;A 41;1;0;0;2;5;0;0;0;0;0;0;1;56;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:33;A 41;1;0;0;0;0;0;0;0;0;0;0;1;35;0;71;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:32;A 41;1;2;2;0;0;0;27;0;0;0;0;0;0;1;24;0;0;0;0;1;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:31;A 41;1;0;0;2;3;1;60;0;0;0;0;0;3;0;3;0;0;0;0;1;4;1;20;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:30;A 41;1;0;0;1;1;1;2;0;0;0;0;1;1;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:29;A 41;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:28;A 41;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;17;1;30;0;0;1;1;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:27;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;1;24;2;20;0;0;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:26;A 41;1;2;3;0;0;0;0;0;0;0;0;1;1;1;2;1;1;0;0;0;0;2;21;1;2;1;1;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:25;A 41;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;1;23;2;21;0;0;1;19;2;30;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:24;A 41;1;0;0;1;1;0;0;0;0;0;0;4;41;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:23;A 41;1;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:22;A 41;1;2;7;1;1;1;5;0;0;0;0;0;0;1;1;2;14;2;10;0;0;1;5;2;17;1;1;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:21;A 41;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:20;A 41;1;0;0;1;1;1;3;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;11;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:19;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:18;A 41;1;0;0;0;0;0;0;0;0;0;0;1;52;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:17;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:16;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;0;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:15;A 41;1;2;5;1;1;0;0;0;0;0;0;1;62;1;95;1;1;1;1;0;0;0;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:14;A 41;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;4;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:13;A 41;1;3;4;0;0;1;2;0;0;0;0;0;0;1;4;0;0;0;0;1;1;2;18;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:12;A 41;1;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:11;A 41;1;1;2;1;1;1;2;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:10;A 41;1;2;6;2;2;0;0;0;0;0;0;1;34;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:09;A 41;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;11;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:08;A 41;1;0;0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;2;2;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:07;A 41;1;1;1;3;2;2;4;0;0;0;0;1;38;0;0;0;0;1;46;0;0;1;11;1;8;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:06;A 41;1;0;0;2;8;3;6;0;0;0;0;1;75;1;18;1;1;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:05;A 41;1;1;1;0;0;0;0;0;0;0;0;1;8;0;0;2;2;1;19;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:04;A 41;1;1;2;0;0;0;0;0;0;0;0;3;34;0;0;0;0;1;29;1;6;2;9;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:03;A 41;1;0;0;1;1;1;2;0;0;0;0;1;35;0;0;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:02;A 41;1;0;0;1;1;1;4;0;0;0;0;0;0;1;5;1;15;1;15;1;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:01;A 41;1;1;2;1;2;2;3;0;0;0;0;1;39;0;0;0;0;1;0;1;1;4;26;1;10;0;0;1;21;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;01:00;A 41;1;1;2;3;12;3;19;0;0;0;0;1;1;0;0;1;1;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:59;A 41;1;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;1;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:58;A 41;1;0;0;1;1;0;0;0;0;0;0;2;27;0;22;0;0;0;0;0;0;0;0;0;0;0;0;2;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:57;A 41;1;0;0;1;1;1;2;0;0;0;0;1;28;1;56;2;2;3;1;0;0;0;0;1;5;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:56;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:55;A 41;1;1;1;3;6;2;9;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:54;A 41;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:53;A 41;1;0;0;2;3;1;2;0;0;0;0;1;51;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:52;A 41;1;0;0;0;0;0;0;0;0;0;0;1;36;0;0;0;0;0;0;0;0;2;19;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:51;A 41;1;1;1;1;1;1;2;0;0;0;0;1;2;1;1;0;28;0;0;1;26;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:50;A 41;1;0;0;1;2;1;26;0;0;0;0;1;1;1;1;1;34;0;0;0;0;1;2;2;15;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:49;A 41;1;2;4;3;4;2;7;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;16;0;81;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:48;A 41;1;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:47;A 41;1;1;8;2;5;1;2;0;0;0;0;2;32;1;1;0;0;0;0;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:46;A 41;1;0;0;0;0;0;0;0;0;0;0;1;27;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:45;A 41;1;1;2;0;0;0;0;0;0;0;0;0;0;0;15;1;19;1;31;0;0;0;0;1;9;0;0;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:44;A 41;1;1;2;1;3;0;0;0;0;0;0;0;0;1;25;0;0;1;17;0;0;0;9;0;0;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:43;A 41;1;2;1;2;3;2;5;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;23;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:42;A 41;1;0;0;1;7;0;0;0;0;0;0;2;2;0;0;1;44;1;14;0;0;0;0;0;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:41;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;1;32;1;1;2;2;1;3;0;0;1;10;0;0;3;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:40;A 41;1;0;0;1;3;1;5;0;0;0;0;1;1;0;0;0;0;2;2;1;1;2;23;1;4;2;36;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:39;A 41;1;2;6;2;2;0;0;0;0;0;0;1;24;0;0;0;0;0;0;0;0;2;13;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:38;A 41;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;11;0;0;2;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:37;A 41;1;1;3;3;2;2;2;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:36;A 41;1;8;10;0;0;0;0;0;0;0;0;1;60;0;0;0;0;1;39;0;0;1;14;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:35;A 41;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;2;50;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:34;A 41;1;0;0;0;0;0;0;0;0;0;0;1;3;1;5;0;0;1;26;0;0;0;5;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:33;A 41;1;3;4;3;4;4;6;0;0;0;0;0;0;2;5;0;0;1;38;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:32;A 41;1;0;0;1;2;2;4;0;0;0;0;0;0;2;42;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:31;A 41;1;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;6;2;7;2;2;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:30;A 41;1;0;0;0;0;1;6;0;0;0;0;0;23;1;1;0;0;2;21;1;23;0;0;0;9;1;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:29;A 41;1;0;0;0;0;1;2;0;0;0;0;1;17;0;0;0;0;1;1;1;2;1;11;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24.08.2024;00:28;A 41;1;2;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;0;0;0;0;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
