Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D21Z;D21B;D41Z;D41B;D42Z;D42B;B426_MP4Z;B426_MP4B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;T1_4Z;T1_4B;T2_3Z;T2_3B
20.03.2025;01:00;A118;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:59;A118;1;0;0;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:58;A118;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:57;A118;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:56;A118;1;0;0;1;1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:55;A118;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:54;A118;1;0;0;1;5;1;3;1;2;0;0;0;0;0;0;1;1;0;0;0;0
20.03.2025;00:53;A118;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:52;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:51;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:50;A118;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:49;A118;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:48;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:47;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:46;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:45;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:44;A118;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:43;A118;1;0;0;2;4;0;0;2;2;0;0;1;1;1;1;0;0;0;0;0;0
20.03.2025;00:42;A118;1;0;0;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:41;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:40;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:39;A118;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:38;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:37;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:36;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:35;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:34;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:33;A118;1;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:32;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:31;A118;1;1;1;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:30;A118;1;0;0;0;0;2;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:29;A118;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:28;A118;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:27;A118;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:26;A118;1;0;0;4;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:25;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:24;A118;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:23;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:22;A118;1;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:21;A118;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:20;A118;1;0;0;3;4;0;0;2;2;0;0;1;1;1;1;0;0;0;0;0;0
20.03.2025;00:19;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:18;A118;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:17;A118;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:16;A118;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:15;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:14;A118;1;0;0;0;0;1;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:13;A118;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:12;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:11;A118;1;0;0;1;3;3;4;2;2;1;1;1;1;1;1;1;1;0;0;0;0
20.03.2025;00:10;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:09;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:08;A118;1;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:07;A118;1;0;0;1;0;2;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:06;A118;1;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:05;A118;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:04;A118;1;1;1;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:03;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:02;A118;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:01;A118;1;1;36;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.03.2025;00:00;A118;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:59;A118;1;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:58;A118;1;0;0;0;0;1;2;1;2;1;1;0;0;0;0;1;1;0;0;0;0
19.03.2025;23:57;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:56;A118;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:55;A118;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:54;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:53;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:52;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:51;A118;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:50;A118;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:49;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:48;A118;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:47;A118;1;0;0;4;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:46;A118;1;0;0;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:45;A118;1;0;0;1;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:44;A118;1;0;0;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:43;A118;1;0;0;3;4;0;0;1;3;0;0;0;0;1;1;0;0;0;0;0;0
19.03.2025;23:42;A118;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
19.03.2025;23:41;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:40;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:39;A118;1;0;0;3;2;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:38;A118;1;0;0;1;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:37;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:36;A118;1;0;0;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:35;A118;1;1;34;4;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:34;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:33;A118;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:32;A118;1;1;10;0;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:31;A118;1;0;0;2;3;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:30;A118;1;1;1;1;1;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:29;A118;1;1;32;1;3;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:28;A118;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:27;A118;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:26;A118;1;1;1;1;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:25;A118;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:24;A118;1;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:23;A118;1;0;0;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:22;A118;1;1;33;2;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:21;A118;1;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:20;A118;1;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:19;A118;1;1;0;3;5;6;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:18;A118;1;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:17;A118;1;1;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:16;A118;1;0;0;2;3;1;1;2;2;0;0;1;1;1;1;0;0;0;0;0;0
19.03.2025;23:15;A118;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:14;A118;1;0;0;1;1;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:13;A118;1;0;11;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:12;A118;1;1;23;3;2;2;3;2;2;1;1;0;0;0;0;1;1;0;0;0;0
19.03.2025;23:11;A118;1;1;1;2;1;4;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:10;A118;1;0;0;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:09;A118;1;0;0;5;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:08;A118;1;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:07;A118;1;0;0;2;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:06;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:05;A118;1;0;0;2;2;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:04;A118;1;0;0;3;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:03;A118;1;0;0;2;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:02;A118;1;0;0;1;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:01;A118;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;23:00;A118;1;1;34;4;4;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;22:59;A118;1;0;0;4;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;22:58;A118;1;0;0;3;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;22:57;A118;1;0;0;2;1;3;3;2;2;1;1;0;0;0;0;1;1;0;0;0;0
19.03.2025;22:56;A118;1;0;0;3;2;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;22:55;A118;1;0;0;4;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;22:54;A118;1;1;33;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;22:53;A118;1;0;0;4;5;3;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;22:52;A118;1;0;0;3;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;22:51;A118;1;0;0;2;1;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;22:50;A118;1;0;0;2;2;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
19.03.2025;22:49;A118;1;0;0;2;2;3;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0
