Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D23Z;D23B;V24Z;V24B;V25Z;V25B;V26Z;V26B;D81Z;D81B;V82Z;V82B;D91Z;D91B;V92Z;V92B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;TF32Z;TF32B;TF35Z;TF35B;TF37Z;TF37B;TF38Z;TF38B;TF39Z;TF39B;TF41Z;TF41B;TB32Z;TB32B;TB35Z;TB35B;TB37Z;TB37B;TB38Z;TB38B;TB39Z;TB39B;TB41Z;TB41B;ST58Z;ST58B;ST59Z;ST59B
03.06.2024;00:17;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:16;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;1;8;0;0;2;3;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:15;A 51;1;0;0;1;1;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:14;A 51;1;0;0;1;31;0;28;0;0;1;6;0;0;1;1;1;4;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:13;A 51;1;0;0;1;0;1;27;0;0;1;10;1;7;0;0;0;0;0;0;0;0;1;40;0;0;1;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:12;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:11;A 51;1;0;0;1;1;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:10;A 51;1;0;0;1;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:09;A 51;1;0;0;1;30;0;0;0;0;1;41;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:08;A 51;1;0;0;2;1;0;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;1;16;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:07;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:06;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:05;A 51;1;0;0;1;15;2;0;0;0;1;10;0;0;0;0;0;0;1;55;1;18;0;68;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:04;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;21;1;29;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:03;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;2;11;2;17;0;0;0;0;0;0;1;2;1;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:02;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:01;A 51;1;0;0;2;1;0;0;0;0;2;12;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.06.2024;00:00;A 51;1;0;0;0;0;1;1;0;0;0;0;1;4;2;2;2;11;0;0;0;0;0;0;0;0;1;23;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:59;A 51;1;0;0;3;2;0;0;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;3;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:58;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:57;A 51;1;0;0;1;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:56;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:55;A 51;1;0;0;0;0;1;0;0;0;0;0;1;3;1;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:54;A 51;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;11;0;0;1;31;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:53;A 51;1;0;0;1;15;0;0;0;0;1;14;0;0;0;0;1;2;1;24;1;6;1;0;1;11;1;4;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:52;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:51;A 51;1;0;0;1;0;1;5;0;0;1;2;0;11;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;9;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
02.06.2024;23:50;A 51;1;0;0;1;0;0;0;0;0;1;4;1;1;1;8;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:49;A 51;1;1;0;0;0;0;0;1;2;0;0;0;0;1;8;1;19;0;0;0;0;0;0;0;0;1;8;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:48;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:47;A 51;1;0;0;1;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:46;A 51;1;0;0;3;27;0;0;0;0;4;31;3;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:45;A 51;1;0;0;1;0;0;0;0;0;1;5;0;0;1;0;1;5;0;0;0;0;2;36;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:44;A 51;1;0;0;1;2;0;0;0;0;2;10;0;0;1;27;1;12;0;0;0;0;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:43;A 51;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:42;A 51;1;0;0;4;51;0;0;0;0;2;26;0;0;1;1;1;7;0;10;0;0;1;20;1;1;2;8;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:41;A 51;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;4;1;6;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:40;A 51;1;0;0;0;59;0;0;0;0;0;0;0;0;1;25;1;8;0;0;0;0;1;34;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:39;A 51;1;0;0;1;4;0;0;0;0;1;8;0;0;3;2;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:38;A 51;1;0;0;1;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:37;A 51;1;0;0;1;0;0;0;0;0;1;5;0;0;2;1;2;9;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:36;A 51;1;0;0;1;20;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:35;A 51;1;0;0;1;1;0;0;0;0;1;7;0;0;2;1;2;7;0;0;0;0;0;0;1;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:34;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:33;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:32;A 51;1;0;0;2;8;0;0;0;0;2;13;0;0;1;1;1;5;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:31;A 51;1;0;0;2;1;0;0;0;0;2;11;0;0;4;3;4;22;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:30;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:29;A 51;1;0;0;1;1;0;0;0;0;1;6;0;0;2;2;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:28;A 51;1;0;0;1;13;0;0;1;4;0;14;0;0;3;2;3;18;1;13;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:27;A 51;1;0;0;1;7;1;1;0;0;1;16;1;4;2;1;2;10;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:26;A 51;1;0;0;1;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:25;A 51;1;1;0;1;16;0;0;1;3;1;12;0;0;0;0;0;0;0;0;0;0;1;17;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:24;A 51;1;0;0;1;4;0;0;0;0;1;10;1;6;0;0;0;0;0;0;0;0;1;20;0;2;1;5;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:23;A 51;1;0;0;1;3;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;3;7;2;3;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:22;A 51;1;0;0;1;3;0;0;0;0;1;13;0;0;0;0;3;4;1;0;0;0;0;0;1;7;0;0;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:21;A 51;1;0;0;1;0;1;4;0;0;1;4;1;9;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:20;A 51;1;0;0;3;45;0;0;0;0;1;57;0;0;0;0;0;0;0;0;0;0;1;19;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:19;A 51;1;0;0;1;10;0;0;0;0;1;18;0;0;1;1;1;9;0;0;0;0;0;0;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:18;A 51;1;1;1;1;1;0;0;0;0;1;7;0;0;2;2;2;12;0;0;0;0;0;28;2;3;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:17;A 51;1;0;0;1;1;0;0;0;0;1;5;0;0;3;3;3;17;1;15;1;7;1;16;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:16;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:15;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;1;11;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:14;A 51;1;0;0;3;40;0;0;0;0;2;59;1;25;0;0;0;0;0;0;0;0;1;14;0;0;0;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:13;A 51;1;0;0;1;0;0;0;1;2;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:12;A 51;1;0;0;2;13;0;0;0;0;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:11;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;2;1;2;11;0;0;1;1;0;0;2;4;2;4;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:10;A 51;1;0;0;3;6;0;0;0;0;1;47;0;0;2;62;2;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:09;A 51;1;1;0;2;69;0;0;0;0;1;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:08;A 51;1;0;0;1;27;0;0;0;0;1;39;0;0;1;3;1;11;0;0;0;0;0;0;1;2;1;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:07;A 51;1;0;0;4;10;0;0;1;2;2;26;0;0;0;0;0;0;0;0;0;0;0;0;3;6;1;2;3;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:06;A 51;1;0;0;2;57;0;0;0;0;2;60;0;0;1;30;1;11;0;0;0;0;1;49;2;12;1;5;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:05;A 51;1;0;0;0;0;1;4;0;0;0;0;1;8;0;0;0;0;0;0;0;0;1;7;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:04;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;3;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:03;A 51;1;0;0;2;8;0;0;0;0;0;15;0;0;1;15;1;6;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:02;A 51;1;0;0;1;0;0;0;0;0;2;5;0;0;1;7;1;8;0;0;0;0;0;0;1;2;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:01;A 51;1;0;0;1;1;0;0;0;0;1;5;0;0;2;39;2;45;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;23:00;A 51;1;0;0;1;0;0;0;1;3;1;3;0;0;3;3;2;16;1;6;1;11;0;0;1;2;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:59;A 51;1;0;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:58;A 51;1;0;0;3;36;1;13;0;0;2;50;1;7;2;9;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:57;A 51;1;0;0;1;9;0;0;0;0;1;39;0;0;4;17;3;19;0;0;0;0;0;0;0;0;0;0;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:56;A 51;1;0;0;2;35;2;3;0;0;2;25;0;0;1;49;2;17;0;0;0;0;0;0;2;4;1;2;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:55;A 51;1;0;0;1;0;0;0;1;4;1;4;0;0;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:54;A 51;1;0;0;3;52;0;0;0;0;0;56;0;0;3;2;2;17;1;15;1;8;1;0;2;12;3;10;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:53;A 51;1;0;0;1;44;0;0;0;0;1;52;0;0;0;0;0;0;0;0;0;0;1;1;1;3;0;0;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:52;A 51;1;0;0;0;0;1;4;0;0;0;0;1;8;2;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:51;A 51;1;0;0;2;23;0;0;0;0;2;14;0;0;2;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:50;A 51;1;0;0;1;42;0;0;0;0;1;9;0;0;1;20;1;9;0;0;0;0;4;9;0;2;1;44;0;7;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:49;A 51;1;0;0;2;32;0;0;0;0;2;14;0;0;0;0;0;0;0;0;0;0;1;27;3;6;2;10;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:48;A 51;1;0;0;0;0;1;10;0;0;0;0;1;9;1;1;1;5;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:47;A 51;1;0;0;0;0;1;1;0;0;0;0;1;5;0;0;5;6;0;0;0;0;1;18;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:46;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;0;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:45;A 51;1;0;0;2;2;0;0;0;0;1;9;0;0;1;8;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:44;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;1;19;1;12;0;0;0;0;1;1;1;2;1;2;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:43;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;2;2;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:42;A 51;1;0;0;2;1;0;0;0;0;2;9;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:41;A 51;1;0;0;1;69;0;0;0;0;1;73;0;0;0;0;0;0;0;0;0;0;2;35;1;1;2;34;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:40;A 51;1;0;0;1;0;1;0;0;0;1;4;1;4;1;0;1;4;0;0;0;0;1;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
02.06.2024;22:39;A 51;1;0;0;3;20;1;48;0;0;2;22;1;8;2;3;1;13;0;0;0;0;0;17;1;19;1;3;3;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:38;A 51;1;0;0;0;0;0;2;0;0;0;0;0;1;3;3;2;12;0;0;1;1;1;26;1;2;1;3;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:37;A 51;1;1;1;1;20;1;2;0;0;0;20;1;8;1;1;1;5;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:36;A 51;1;0;0;1;23;0;0;0;0;1;33;0;0;0;0;0;0;0;0;0;0;2;53;1;1;2;12;1;6;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:35;A 51;1;0;0;2;1;0;0;0;0;2;10;0;0;3;2;2;13;0;5;0;0;0;0;1;1;1;1;1;3;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:34;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;1;1;2;6;1;8;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:33;A 51;1;0;0;2;10;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;1;17;0;0;1;10;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2024;22:32;A 51;1;0;0;3;19;0;0;0;0;3;34;0;0;2;1;2;9;0;0;0;0;2;30;0;0;1;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
