Datum;Uhrzeit;Bezeichnung;Intervall;V33Z;V33B;V34Z;V34B;V51Z;V51B;V52Z;V52B;D71Z;D71B;V111Z;V111B;V112Z;V112B;D121Z;D121B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B;T6Z;T6B;T7Z;T7B;V10Z;V10B;V20Z;V20B;D11Z;D11B;D12Z;D12B;D31Z;D31B;D32Z;D32B;V122Z;V122B
30.10.2024;00:50;A 94;1;0;0;0;0;3;10;0;0;0;0;1;4;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;5;7
30.10.2024;00:49;A 94;1;2;9;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;8;0;0;0;0
30.10.2024;00:48;A 94;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;1;10;0;0
30.10.2024;00:47;A 94;1;0;0;0;0;2;5;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
30.10.2024;00:46;A 94;1;0;0;0;0;2;6;0;0;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;3;3
30.10.2024;00:45;A 94;1;2;7;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0;1;9;0;0;0;0
30.10.2024;00:44;A 94;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
30.10.2024;00:43;A 94;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.10.2024;00:42;A 94;1;0;0;0;0;0;0;0;0;0;0;3;7;1;4;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;3;8
30.10.2024;00:41;A 94;1;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0
30.10.2024;00:40;A 94;1;0;0;0;0;0;0;0;0;0;0;4;14;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;5;6;1;1;0;0;0;0;0;0
30.10.2024;00:39;A 94;1;0;0;0;0;1;2;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.10.2024;00:38;A 94;1;0;0;0;0;0;0;0;0;0;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;2;1;0;0;0;0;0;0
30.10.2024;00:37;A 94;1;0;0;0;0;0;0;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;0;0;0;0;0;0
30.10.2024;00:36;A 94;1;0;0;0;0;3;11;0;0;0;0;1;4;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;2
30.10.2024;00:35;A 94;1;0;0;3;5;2;5;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;2;2;2;1;2;1;10;0;0
30.10.2024;00:34;A 94;1;2;12;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;1;2;0;0;1;10;0;0;0;0
30.10.2024;00:33;A 94;1;0;0;0;0;0;0;0;0;0;0;0;0;2;7;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;2;3;0;0;0;0;3;3
30.10.2024;00:32;A 94;1;0;0;0;0;1;2;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0
30.10.2024;00:31;A 94;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
30.10.2024;00:30;A 94;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
30.10.2024;00:29;A 94;1;0;0;0;0;1;4;2;1;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;2;1;1;0;0;0;0;0;0
30.10.2024;00:28;A 94;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.10.2024;00:27;A 94;1;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;1;0;0;0;0;0;0
30.10.2024;00:26;A 94;1;0;0;0;0;1;6;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.10.2024;00:25;A 94;1;2;11;0;0;1;2;1;4;0;0;2;3;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;5;3;6;1;33;0;0;2;2
30.10.2024;00:24;A 94;1;0;0;1;8;0;0;0;0;0;0;2;7;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;2;0;0;1;3;0;0
30.10.2024;00:23;A 94;1;0;0;0;0;2;5;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;2;2;0;0;0;0;0;0;0;0
30.10.2024;00:22;A 94;1;0;0;0;0;2;8;0;0;0;0;1;4;1;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;10
30.10.2024;00:21;A 94;1;0;0;0;0;0;0;0;0;0;0;1;4;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;1;1
30.10.2024;00:20;A 94;1;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
30.10.2024;00:19;A 94;1;0;0;0;0;3;14;1;5;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0;0;0;0;0;0;0;0
30.10.2024;00:18;A 94;1;0;0;0;0;1;3;0;0;0;0;2;7;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;0;0;0;0;0;0
30.10.2024;00:17;A 94;1;0;0;0;0;2;2;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;0;0;0;0;0;0;0
30.10.2024;00:16;A 94;1;0;0;0;0;3;6;0;0;0;0;1;6;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;1;0;0;0;0;0;1
30.10.2024;00:15;A 94;1;0;0;0;0;4;8;2;5;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;3;2
30.10.2024;00:14;A 94;1;1;3;0;0;0;0;2;2;0;0;2;33;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;6;4;4;1;9;0;0;0;0
30.10.2024;00:13;A 94;1;1;3;0;0;2;5;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
30.10.2024;00:12;A 94;1;0;0;0;0;3;4;0;0;0;0;2;7;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;1;1;0;0;0;0;0;0
30.10.2024;00:11;A 94;1;0;0;0;0;3;9;1;3;0;0;1;4;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;0;0;0;0;0;0;2;2
30.10.2024;00:10;A 94;1;0;0;0;0;3;8;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30.10.2024;00:09;A 94;1;0;0;0;0;0;0;2;2;0;0;1;5;1;2;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;1;1;1;1;1;2;1;2;0;0;0;0;0;0
30.10.2024;00:08;A 94;1;0;0;0;0;4;9;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;2;2;3;0;0;0;0;0;0;0;0
30.10.2024;00:07;A 94;1;1;6;1;5;1;2;1;4;0;0;3;9;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;3;1;12;1;3;0;0
30.10.2024;00:06;A 94;1;0;0;0;0;2;5;3;4;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;3;4;0;0;0;0;0;0
30.10.2024;00:05;A 94;1;0;0;0;0;1;1;1;4;0;0;2;9;2;5;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;2;1;2;0;0;0;0;5;4
30.10.2024;00:04;A 94;1;0;0;0;0;3;5;1;2;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;1;1;0;0;0;0;0;0;0
30.10.2024;00:03;A 94;1;2;3;0;0;0;0;0;0;0;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;2;1;6;8;4;4;1;14;0;0;0;0
30.10.2024;00:02;A 94;1;1;8;0;0;1;6;0;0;0;0;2;8;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0
30.10.2024;00:01;A 94;1;0;0;0;0;1;1;0;0;0;0;3;9;0;0;1;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;3;0;1;0;0;0;0;0;0
30.10.2024;00:00;A 94;1;1;8;0;0;2;3;1;2;0;0;4;15;2;6;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;1;4;6;4;4;1;12;0;0;3;3
29.10.2024;23:59;A 94;1;0;0;0;0;4;20;2;4;0;0;3;10;1;2;1;43;1;2;1;2;1;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;2;2
29.10.2024;23:58;A 94;1;5;23;0;0;1;4;1;4;0;0;1;4;1;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;4;4;3;3;3;12;0;0;3;3
29.10.2024;23:57;A 94;1;3;16;0;0;2;9;3;9;0;0;3;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;3;3;1;6;0;0;0;0
29.10.2024;23:56;A 94;1;0;0;0;0;2;5;0;1;0;0;2;7;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;1;1;0;0;0;0;2;1
29.10.2024;23:55;A 94;1;0;0;0;0;5;9;1;1;0;0;4;13;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;4;2;1;0;0;0;0;0;0
29.10.2024;23:54;A 94;1;2;2;0;0;1;2;1;4;0;0;2;7;0;0;1;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;1;1;0;0;0;0;2;2
29.10.2024;23:53;A 94;1;0;0;4;13;2;5;0;0;0;0;3;7;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;1;1;0;0;2;47;3;4
29.10.2024;23:52;A 94;1;1;7;1;6;3;7;1;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;1;1;9;1;12;0;0
29.10.2024;23:51;A 94;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;5;5
29.10.2024;23:50;A 94;1;3;16;0;0;6;18;0;0;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;3;2;2;5;0;0;0;0
29.10.2024;23:49;A 94;1;3;9;0;0;3;9;1;6;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;1;6;0;0;3;2
29.10.2024;23:48;A 94;1;0;0;0;0;4;12;2;4;0;0;3;9;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;2;0;0;0;0;0;0
29.10.2024;23:47;A 94;1;0;0;0;0;1;2;0;0;0;0;3;9;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;3;2;2;0;0;0;0;0;0
29.10.2024;23:46;A 94;1;0;0;0;0;3;14;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
29.10.2024;23:45;A 94;1;0;0;0;0;2;5;3;7;0;0;2;7;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;5;8
29.10.2024;23:44;A 94;1;3;5;0;0;5;24;0;0;0;0;2;8;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;3;3;2;53;0;0;0;0
29.10.2024;23:43;A 94;1;4;11;0;0;1;4;0;0;0;0;1;6;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;1;0;1;13;0;0;1;6
29.10.2024;23:42;A 94;1;0;0;0;0;5;13;1;3;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0
29.10.2024;23:41;A 94;1;0;0;0;0;2;8;0;0;0;0;4;13;3;9;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;3;3;3;2;0;0;0;0;3;3
29.10.2024;23:40;A 94;1;0;0;0;0;1;5;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;1;0;0;0;0;0;0;0
29.10.2024;23:39;A 94;1;2;8;0;0;2;6;2;3;0;0;1;3;1;3;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;4;3;3;1;9;0;0;3;2
29.10.2024;23:38;A 94;1;3;7;0;0;2;10;1;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;4;3;3;2;1;1;9;0;0;0;0
29.10.2024;23:37;A 94;1;5;16;0;0;0;0;3;14;0;0;1;4;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;2;3;2;33;0;0;2;1
29.10.2024;23:36;A 94;1;0;0;0;0;5;10;0;0;0;0;1;3;0;0;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;3;1;2;0;0;0;0;0;0
29.10.2024;23:35;A 94;1;1;1;0;0;3;10;2;2;0;0;2;7;1;6;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;3;2;0;0;0;0;9;11
29.10.2024;23:34;A 94;1;0;0;0;0;3;7;2;12;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;3;3
29.10.2024;23:33;A 94;1;0;0;1;3;1;2;2;7;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;1;1;0;0;1;29;0;0
29.10.2024;23:32;A 94;1;0;0;1;3;3;6;0;0;0;0;1;4;1;3;1;25;1;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;3;2
29.10.2024;23:31;A 94;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;1
29.10.2024;23:30;A 94;1;0;0;0;0;0;0;2;1;0;0;4;15;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;3;0;0;0;0;0;0;3;2
29.10.2024;23:29;A 94;1;2;53;1;15;1;4;1;8;0;0;4;11;0;0;2;60;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;1;1;0;0;8;12;5;6;5;38;1;2;6;7
29.10.2024;23:28;A 94;1;3;8;0;0;2;25;1;23;0;0;1;4;1;4;1;4;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;24;0;0;2;3
29.10.2024;23:27;A 94;1;0;0;0;0;4;15;3;9;0;0;2;7;1;3;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;0;0;0;0;3;2
29.10.2024;23:26;A 94;1;0;0;0;0;2;4;3;6;0;0;1;4;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;5
29.10.2024;23:25;A 94;1;0;0;0;0;2;5;0;0;0;0;2;6;1;3;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;3;3;2;1;0;0;0;0;2;2
29.10.2024;23:24;A 94;1;3;17;1;8;4;7;0;0;0;0;1;3;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;2;2;29;1;2;1;7
29.10.2024;23:23;A 94;1;0;0;0;0;7;13;0;0;0;0;4;13;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;7;1;1;0;0;0;0;3;3
29.10.2024;23:22;A 94;1;1;19;3;8;3;7;1;2;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;0;0;2;5;1;2;0;0
29.10.2024;23:21;A 94;1;1;4;0;0;3;7;2;2;0;0;7;10;0;0;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;1;1;1;1;1;15;0;0;3;5
29.10.2024;23:20;A 94;1;2;7;0;0;2;9;2;2;0;0;0;0;1;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;30;0;0;6;5
29.10.2024;23:19;A 94;1;1;6;0;0;3;5;0;0;0;0;2;7;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;3;3;1;1;1;24;0;0;1;6
29.10.2024;23:18;A 94;1;0;0;0;0;2;5;0;0;0;0;3;11;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;3;1;0;0;0;0;0;2;2
29.10.2024;23:17;A 94;1;0;0;2;6;3;6;1;4;0;0;2;7;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;2;0;0;1;14;2;1
29.10.2024;23:16;A 94;1;0;0;3;7;2;12;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;1;0;8;1;10;0;0
29.10.2024;23:15;A 94;1;3;3;0;0;1;2;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;1;31;0;0;3;2
29.10.2024;23:14;A 94;1;1;1;0;0;7;9;0;0;0;0;3;9;2;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;1;1;2;2;3;2;0;0;0;0;3;3
29.10.2024;23:13;A 94;1;1;10;0;0;3;7;0;0;0;0;4;17;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;4;4;3;2;1;10;0;0;0;0
29.10.2024;23:12;A 94;1;0;0;0;0;0;1;1;8;0;0;3;12;1;3;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;5;2;1;0;0;0;0;3;2
29.10.2024;23:11;A 94;1;4;8;2;10;2;3;0;0;0;0;1;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;1;1;1;3;2;2;25;1;11;0;0
29.10.2024;23:10;A 94;1;0;0;3;7;4;17;2;7;0;0;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;3;2;2;0;18;1;20;0;0
29.10.2024;23:09;A 94;1;2;8;2;8;4;11;1;8;0;0;7;22;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;6;6;4;3;2;13;2;13;2;2
29.10.2024;23:08;A 94;1;2;8;0;0;1;4;2;2;0;0;5;14;1;3;1;19;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;0;0;0;1;1;5;7;6;5;1;8;0;0;5;5
29.10.2024;23:07;A 94;1;3;7;3;7;6;11;4;6;0;0;1;3;1;3;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1;2;2;1;1;1;14;1;10;0;0
29.10.2024;23:06;A 94;1;1;7;0;0;1;4;2;5;0;0;1;3;1;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;2;1;1;1;29;0;0;4;4
29.10.2024;23:05;A 94;1;0;0;0;0;4;14;3;7;0;0;1;4;0;0;1;61;1;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;1;0;0;0;0;0;3;2
29.10.2024;23:04;A 94;1;0;0;0;0;3;9;1;2;0;0;3;9;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;5;8;3;4;0;0;0;0;0;0
29.10.2024;23:03;A 94;1;0;0;0;0;1;2;0;0;0;0;2;13;1;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;1;1;1;1;1;0;0;0;0;4;12
29.10.2024;23:02;A 94;1;0;0;0;0;6;31;2;10;0;0;4;15;1;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;5;0;0;0;0;0;0;2;3
29.10.2024;23:01;A 94;1;0;0;0;0;5;35;4;14;0;0;4;10;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;6;6;4;3;0;0;0;0;3;3
29.10.2024;23:00;A 94;1;8;19;0;0;1;9;0;0;0;0;5;14;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;1;1;3;43;0;0;0;0
29.10.2024;22:59;A 94;1;2;5;0;0;4;11;0;2;0;0;2;9;3;10;0;0;1;2;1;2;1;2;1;2;1;2;1;2;0;0;0;0;1;1;1;1;4;6;3;5;1;10;0;0;0;0
29.10.2024;22:58;A 94;1;0;0;0;0;2;5;1;1;0;0;1;3;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;3;2;2;0;0;0;0;3;2
