Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D23Z;D23B;V24Z;V24B;V25Z;V25B;V26Z;V26B;D81Z;D81B;V82Z;V82B;D91Z;D91B;V92Z;V92B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;TF32Z;TF32B;TF35Z;TF35B;TF37Z;TF37B;TF38Z;TF38B;TF39Z;TF39B;TF41Z;TF41B;TB32Z;TB32B;TB35Z;TB35B;TB37Z;TB37B;TB38Z;TB38B;TB39Z;TB39B;TB41Z;TB41B;ST58Z;ST58B;ST59Z;ST59B
21.06.2024;00:17;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;34;1;7;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:16;A 51;1;0;0;2;2;0;0;0;0;2;12;0;0;1;1;1;6;0;0;0;0;0;0;1;2;0;100;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:15;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;2;34;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:14;A 51;1;0;0;3;28;0;0;0;0;1;48;0;0;1;0;2;8;0;0;0;0;2;37;0;0;2;64;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:13;A 51;1;1;2;1;2;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:12;A 51;1;0;0;0;0;0;0;1;6;0;0;0;0;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:11;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:10;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:09;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;19;1;0;0;0;1;62;1;1;2;8;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:08;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:07;A 51;1;0;0;0;0;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:06;A 51;1;0;0;2;2;0;0;0;0;1;15;0;0;1;0;1;5;0;0;0;0;0;0;2;3;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:05;A 51;1;0;0;2;15;1;2;0;0;1;23;1;16;1;0;1;6;0;0;0;0;0;0;1;1;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:04;A 51;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;6;0;0;0;0;3;2;1;2;3;21;1;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
21.06.2024;00:03;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;1;0;1;5;0;0;0;0;0;0;1;1;1;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:02;A 51;1;0;0;1;27;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;1;49;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:01;A 51;1;0;0;3;32;0;0;0;0;3;20;0;0;1;1;1;5;0;0;0;0;1;36;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21.06.2024;00:00;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;5;0;0;1;1;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:59;A 51;1;0;0;2;2;0;0;0;0;2;25;0;0;2;9;2;13;1;0;1;1;1;9;1;3;1;10;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:58;A 51;1;0;0;3;3;0;0;0;0;2;17;0;0;1;0;1;3;0;0;0;0;0;0;1;2;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:57;A 51;1;0;0;3;2;0;0;0;0;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:56;A 51;1;0;0;5;4;0;0;0;0;5;23;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;8;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:55;A 51;1;0;0;1;16;0;0;0;0;1;11;0;30;0;0;0;0;1;12;0;11;2;2;2;5;2;15;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:54;A 51;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;1;85;1;90;0;0;1;4;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:53;A 51;1;1;0;1;1;0;59;0;0;1;7;0;100;1;52;1;5;1;0;0;0;1;0;2;9;1;4;2;15;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:52;A 51;1;0;0;1;0;1;11;0;0;0;0;1;21;1;40;1;17;0;0;0;0;2;19;0;0;2;15;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:51;A 51;1;0;0;2;1;0;0;0;0;3;13;0;0;1;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:50;A 51;1;0;0;1;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:49;A 51;1;0;0;1;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:48;A 51;1;0;0;1;0;1;0;0;0;2;47;0;0;2;2;2;10;1;0;1;2;0;0;3;8;1;2;1;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:47;A 51;1;0;0;2;38;0;0;0;0;1;16;2;2;0;0;0;1;0;0;0;0;1;9;2;4;2;19;4;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:46;A 51;1;0;0;2;1;0;0;1;4;3;13;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:45;A 51;1;0;0;2;32;1;6;0;0;1;8;0;0;2;2;1;8;1;3;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:44;A 51;1;0;0;2;17;0;0;1;4;1;31;0;0;0;0;0;0;0;0;1;18;1;17;0;0;1;8;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:43;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;2;2;2;13;0;0;1;7;1;13;1;2;2;8;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:42;A 51;1;0;0;3;2;0;0;0;0;2;9;0;0;5;7;2;34;0;0;0;0;0;0;1;2;1;5;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:41;A 51;1;1;81;3;4;0;0;0;0;2;73;0;0;1;65;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:40;A 51;1;1;20;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:39;A 51;1;1;0;2;2;0;0;1;6;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:38;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;4;17;1;33;0;0;0;0;0;0;1;2;3;10;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:37;A 51;1;0;0;1;0;1;1;0;0;1;4;1;6;2;3;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:36;A 51;1;1;1;4;31;0;0;0;7;3;24;0;0;3;2;4;17;0;0;0;0;1;35;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:35;A 51;1;0;0;2;23;0;0;1;6;2;23;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:34;A 51;1;0;0;3;2;1;38;0;0;3;14;1;9;0;0;0;0;0;0;0;0;0;0;0;0;1;4;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:33;A 51;1;0;0;2;34;0;0;0;3;1;49;0;0;1;0;1;4;3;7;0;0;0;0;1;2;1;3;1;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:32;A 51;1;0;0;1;1;0;0;2;3;1;4;0;0;1;0;2;7;1;1;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:31;A 51;1;0;0;3;4;0;0;2;9;3;16;0;0;2;12;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:30;A 51;1;0;0;2;16;0;0;0;0;2;12;0;0;1;23;0;7;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:29;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;2;47;2;62;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:28;A 51;1;0;0;4;51;0;0;0;0;2;23;0;0;1;1;0;5;0;0;0;0;0;100;1;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:27;A 51;1;0;0;4;37;0;0;0;0;3;41;0;0;1;60;2;10;0;0;0;0;0;100;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:26;A 51;1;0;0;6;58;0;0;0;0;1;60;0;0;4;59;2;60;0;0;0;0;0;100;0;0;1;28;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:25;A 51;1;0;0;0;100;0;0;0;0;1;99;0;0;2;86;1;44;0;0;0;0;1;99;1;6;3;8;2;7;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
20.06.2024;23:24;A 51;1;0;0;5;72;0;0;0;0;3;62;1;6;3;22;3;25;0;0;0;0;1;99;0;14;0;0;1;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:23;A 51;1;2;1;6;30;0;0;1;3;2;59;0;0;5;4;3;27;1;11;2;10;0;0;2;8;0;0;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:22;A 51;1;1;1;1;3;1;5;0;0;1;15;1;10;2;1;1;8;0;0;0;0;1;69;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:21;A 51;1;0;0;1;0;0;0;1;2;1;36;0;0;1;0;1;6;0;0;0;0;1;42;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:20;A 51;1;0;0;2;1;0;0;0;0;2;9;0;0;5;3;2;18;0;0;0;0;3;35;1;2;2;38;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:19;A 51;1;0;0;3;11;0;0;2;4;1;16;0;0;2;1;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:18;A 51;1;1;0;2;1;0;0;1;4;3;19;0;0;2;0;2;11;1;0;0;0;2;64;1;1;1;74;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:17;A 51;1;0;0;3;29;0;0;0;0;3;35;0;0;5;6;4;58;0;0;0;0;1;20;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:16;A 51;1;1;0;3;40;0;0;1;3;1;51;0;0;2;44;3;18;0;0;0;0;1;25;0;0;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:15;A 51;1;0;0;3;15;0;0;0;0;2;24;0;0;3;3;3;15;0;0;0;0;0;0;1;3;1;8;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:14;A 51;1;0;0;1;5;0;0;0;0;2;31;0;0;3;33;0;44;1;1;1;36;0;0;0;0;3;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:13;A 51;1;1;2;4;6;0;0;0;0;1;99;0;0;0;0;1;0;0;3;0;0;0;0;1;2;0;0;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:12;A 51;1;2;5;6;51;0;0;0;0;0;100;0;0;2;3;1;38;1;6;1;6;0;7;2;4;3;5;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:11;A 51;1;0;0;2;36;0;0;0;0;3;28;0;0;1;1;2;29;0;0;0;0;1;79;0;0;1;6;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:10;A 51;1;0;0;2;3;0;0;0;0;2;18;0;0;1;1;1;6;0;0;0;0;1;49;1;1;0;49;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:09;A 51;1;1;0;4;9;0;0;1;3;3;25;0;0;3;4;2;10;1;0;1;0;1;65;0;0;1;75;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
20.06.2024;23:08;A 51;1;0;0;7;12;0;0;0;0;4;45;0;0;1;1;1;16;0;0;0;0;1;40;1;2;1;10;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:07;A 51;1;0;0;4;38;1;4;0;0;2;58;1;10;2;4;1;43;0;0;0;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:06;A 51;1;0;0;5;8;2;1;0;0;1;25;1;6;7;8;3;34;1;22;0;6;1;5;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:05;A 51;1;0;0;0;0;0;0;0;0;1;33;1;1;1;36;1;46;1;0;1;34;1;57;1;7;1;22;4;21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:04;A 51;1;0;0;4;3;1;0;0;0;3;19;1;4;1;0;1;5;0;0;0;0;1;7;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:03;A 51;1;0;0;2;42;0;0;0;0;2;49;0;0;3;1;3;13;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:02;A 51;1;0;0;2;3;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;2;48;1;2;2;29;1;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:01;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;4;43;1;55;0;0;0;0;3;30;0;0;3;22;2;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;23:00;A 51;1;0;0;1;1;0;0;0;0;1;5;0;0;0;0;1;3;0;0;0;0;0;0;0;0;1;8;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:59;A 51;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4;0;0;0;0;1;18;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:58;A 51;1;0;0;1;0;0;0;0;0;1;4;0;0;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:57;A 51;1;1;2;2;36;0;0;2;4;1;42;2;35;3;2;2;13;0;62;0;0;2;49;1;4;2;59;0;95;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:56;A 51;1;1;0;4;19;1;6;0;0;3;31;1;10;1;0;0;0;1;14;3;19;1;23;3;7;4;14;3;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:55;A 51;1;0;0;2;23;1;14;0;0;1;25;2;17;0;13;1;3;0;0;0;0;1;50;2;5;2;9;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:54;A 51;1;0;0;2;12;0;0;0;0;1;17;0;0;1;18;1;4;0;0;1;11;0;0;1;3;0;0;1;8;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0
20.06.2024;22:53;A 51;1;0;0;3;32;0;0;0;0;1;44;0;0;3;27;0;36;0;0;0;0;1;47;0;0;1;11;3;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
20.06.2024;22:52;A 51;1;0;0;0;100;0;0;0;0;1;42;0;0;1;99;1;18;0;0;0;0;0;0;1;10;0;0;1;15;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
20.06.2024;22:51;A 51;1;0;0;6;7;0;0;1;2;3;27;0;0;1;4;1;8;0;0;0;0;1;31;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:50;A 51;1;1;9;3;31;0;0;2;9;2;39;0;0;3;15;2;35;0;0;0;0;2;19;0;0;1;30;2;4;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:49;A 51;1;0;0;1;23;0;0;0;0;1;31;0;0;3;2;3;35;0;0;0;0;1;24;1;1;1;32;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:48;A 51;1;2;6;0;0;0;0;1;2;0;0;0;0;2;1;1;9;0;0;0;0;1;36;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:47;A 51;1;0;0;2;1;0;0;1;2;2;6;0;0;1;1;1;5;0;0;0;0;0;0;1;2;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:46;A 51;1;0;0;1;1;1;21;0;0;1;14;1;5;3;2;3;18;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:45;A 51;1;0;0;2;20;0;0;0;0;1;28;0;0;2;16;2;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:44;A 51;1;0;0;1;41;0;0;0;0;2;40;0;0;2;8;3;21;0;0;0;0;2;20;1;2;1;34;1;6;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
20.06.2024;22:43;A 51;1;0;0;1;2;0;0;0;0;1;44;0;0;1;17;1;8;1;13;1;6;1;1;0;0;1;3;1;3;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:42;A 51;1;0;0;2;29;0;0;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:41;A 51;1;0;0;0;0;2;2;0;0;0;0;0;0;1;44;1;8;1;1;0;0;2;51;0;0;0;53;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:40;A 51;1;1;1;5;23;0;0;1;3;3;44;0;0;1;4;1;9;1;46;2;11;2;43;1;2;2;53;2;12;0;0;7;11;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:39;A 51;1;0;0;2;1;0;0;0;0;1;7;2;2;2;0;1;6;0;0;0;0;1;82;3;2;2;84;3;10;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
20.06.2024;22:38;A 51;1;0;0;3;61;1;5;0;0;2;61;1;11;0;0;1;5;0;0;0;0;0;55;0;0;0;0;2;8;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
20.06.2024;22:37;A 51;1;0;0;3;5;0;0;0;0;1;44;1;3;1;36;2;13;1;0;0;0;3;18;2;15;5;18;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:36;A 51;1;0;0;2;1;0;0;1;3;2;9;0;0;0;0;3;7;0;0;0;0;0;0;1;0;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:35;A 51;1;0;0;4;29;0;0;0;0;1;42;0;0;3;6;1;21;0;0;0;0;1;3;2;3;3;17;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:34;A 51;1;0;0;0;0;1;0;1;2;1;2;1;4;2;3;2;13;0;0;0;0;1;62;1;2;2;12;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:33;A 51;1;0;0;3;22;0;0;1;6;1;40;0;0;0;14;0;0;0;0;0;0;1;23;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.06.2024;22:32;A 51;1;0;0;3;11;0;0;0;0;2;43;0;0;2;4;2;18;1;2;0;18;1;1;1;2;2;9;1;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
