Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B
14.04.2024;08:55;A 29;1;0;0;0;0
14.04.2024;08:54;A 29;1;0;0;0;0
14.04.2024;08:53;A 29;1;0;0;0;0
14.04.2024;08:52;A 29;1;0;0;0;0
14.04.2024;08:03;A 29;1;0;0;0;0
14.04.2024;08:02;A 29;1;0;0;0;0
14.04.2024;08:01;A 29;1;0;0;0;0
14.04.2024;08:00;A 29;1;0;0;0;0
14.04.2024;07:11;A 29;1;0;0;0;0
14.04.2024;07:10;A 29;1;0;0;0;0
14.04.2024;07:09;A 29;1;0;0;0;0
14.04.2024;07:08;A 29;1;0;0;0;0
14.04.2024;06:19;A 29;1;0;0;0;0
14.04.2024;06:18;A 29;1;0;0;0;0
14.04.2024;06:17;A 29;1;0;0;0;0
14.04.2024;06:16;A 29;1;0;0;0;0
14.04.2024;03:41;A 29;1;0;0;0;0
